ID,Park Name,Latitude,Longitude,Mailing_Address,Street1,Street2,City,State,Postal Code,Country,Location,Notes
108,Red Arrow Park,43.0429958,-87.909767,"920 N Water St, Milwaukee, WI 53202",920 N Water St,,Milwaukee,WI,53202,USA,"43.0429958, -87.909767","Named in honor of the symbol for the 32nd Infantry Division.[29] The original Red Arrow Park, between N 10th St and N 11th St south of Wisconsin Ave, was lost due to freeway construction. The county acquired the current site (just north of Milwaukee City Hall, east of the Marcus Center) in 1966 from the City of Milwaukee Redevelopment Authority. As part of recent redevelopment of the space, there is now a public outdoor ice-skating rink.[30]"
109,Riverside Park,43.0694284,-87.8894916,"1500 E Riverside Pl, Milwaukee, WI 53211",1500 E Riverside Pl,,Milwaukee,WI,53211,USA,"43.0694284, -87.8894916",Designed by Frederick Law Olmsted. Present-day location of the main offices of the Urban Ecology Center.
110,Riverton Meadows Park,42.8918527,-87.8771072,"2800 E Honeysuckle Dr, Oak Creek, WI 53154",2800 E Honeysuckle Dr,,Oak Creek,WI,53154,USA,"42.8918527, -87.8771072",
111,Rose Park,43.0740157,-87.9147606,"3045 N Dr Martin Luther King, Milwaukee, WI 53212",3045 N Dr Martin Luther King,,Milwaukee,WI,53212,USA,"43.0740157, -87.9147606","Originally named after James A. Garfield in 1922. In the late 1970s, the park was renamed in honor of Clinton E. Rose who had served as a County Supervisor (1968–1977) and a Park Commissioner (1972–1976).[31]"
112,Runway Dog Exercise Area Park,42.919174,-87.895381,"1214 E Rawson Ave, Oak Creek, WI 53154",1214 E Rawson Ave,,Oak Creek,WI,53154,USA,"42.919174, -87.895381",
113,Saveland Park,42.97743381,-87.91233797,"3700 S 2nd St, Milwaukee, WI 53207",3700 S 2nd St,,Milwaukee,WI,53207,USA,"42.9774338094712, -87.9123379699157",
114,Schoenecker Park,43.1308713,-87.9671847,"6237 N Hopkins St, Milwaukee, WI 53209",6237 N Hopkins St,,Milwaukee,WI,53209,USA,"43.1308713, -87.9671847",
115,Scout Lake Park,42.9404521,-87.9855362,"5902 W Loomis Rd, Greendale, WI 53129",5902 W Loomis Rd,,Greendale,WI,53129,USA,"42.9404521, -87.9855362",
116,Servite Park Preserve Park,43.171472,-88.010487,"8501 N Servite Dr, Milwaukee, WI 53223",8501 N Servite Dr,,Milwaukee,WI,53223,USA,"43.171472, -88.010487","This land adjacent to the former site of a Servite Order Monastery, the intention of this land was to be a planted and established and undeveloped prairie. The trail, designed by the County Supervisor at the time, was inspired by landscape architect Frederick Law Olmsted. Under a public-private partnership, the trail was built by WE energies in exchange for rights to access the power lines through the park."
117,Sheridan Park,42.9574619,-87.8487981,"4800 S Lake Dr, Cudahy, WI 53110",4800 S Lake Dr,,Cudahy,WI,53110,USA,"42.9574619, -87.8487981",This park is operated by Milwaukee County Park in the City of Cudahy. It was originally donated to the city by Patrick Cudahy in 1914. It lies on a bluff overlooking Lake Michigan.
118,Sherman Park,43.0737579,-87.9655631,"3000 N Sherman Blvd, Milwaukee, WI 53210",3000 N Sherman Blvd,,Milwaukee,WI,53210,USA,"43.0737579, -87.9655631",
119,Smith Park,43.1174135,-87.9544712,"5462 N 33rd St, Milwaukee, WI 53209",5462 N 33rd St,,Milwaukee,WI,53209,USA,"43.1174135, -87.9544712",
120,South Shore Park,42.9939462,-87.8810296,"2900 S Shore Dr, Milwaukee, WI 53207",2900 S Shore Dr,,Milwaukee,WI,53207,USA,"42.9939462, -87.8810296",
121,Southwood Glen Park,42.87918062,-87.95932229,"3180 W Hilltop Lane, Franklin, WI 53132",3180 W Hilltop Lane,,Franklin,WI,53132,USA,"42.8791806227278, -87.9593222948103",
122,Sports Complex Park,42.8798154,-87.9875436,"6000 W Ryan Rd, Franklin, WI 53132",6000 W Ryan Rd,,Franklin,WI,53132,USA,"42.8798154, -87.9875436",
123,St Martin's Park,42.9019855,-88.0507307,"10705 W Robinwood Ln, Franklin, WI 53132",10705 W Robinwood Ln,,Franklin,WI,53132,USA,"42.9019855, -88.0507307",
124,Tiefenthaler Park,43.0516416,-87.9451885,"2501 W Galena St, Milwaukee, WI 53205",2501 W Galena St,,Milwaukee,WI,53205,USA,"43.0516416, -87.9451885",
125,Tippecanoe Park,42.9776545,-87.8911784,"1411 E Warnimont Ave, Milwaukee, WI 53207",1411 E Warnimont Ave,,Milwaukee,WI,53207,USA,"42.9776545, -87.8911784",
126,Trimborn Farm Park,42.9443369,-88.0243281,"8881 W Grange Ave, Greendale, WI 53129",8881 W Grange Ave,,Greendale,WI,53129,USA,"42.9443369, -88.0243281",
127,Uihlein Soccer Park Park,43.1464045,-87.998273,"7101 Good Hope Rd, Milwaukee, WI 53223",7101 Good Hope Rd,,Milwaukee,WI,53223,USA,"43.1464045, -87.998273","A soccer-specific stadium built in 1994, the Milwaukee Wave sometimes practices here."
128,Valley Park,43.03418946,-87.9668773,"365 N 42nd St., Milwaukee, WI 53208",365 N 42nd St.,,Milwaukee,WI,53208,USA,"43.0341894558852, -87.9668772997989",
129,Veteran's Park,43.0450787,-87.8930184,"1010 N Lincoln Memorial Dr, Milwaukee, WI 53202",1010 N Lincoln Memorial Dr,,Milwaukee,WI,53202,USA,"43.0450787, -87.8930184",Just south of the McKinley Marina along Milwaukee's Lakefront.
130,Vogel Park,43.1094809,-88.0194929,"8601 W Lancaster Ave, Milwaukee, WI 53225",8601 W Lancaster Ave,,Milwaukee,WI,53225,USA,"43.1094809, -88.0194929",
131,Wahl/Harriet Tubman Park,43.1036645,-87.9731952,"4750 N 48th St, Milwaukee, WI 53218",4750 N 48th St,,Milwaukee,WI,53218,USA,"43.1036645, -87.9731952",
132,Walker Square Park,43.0206523,-87.92327051,"1031 S 9th St, Milwaukee, WI  53204",1031 S 9th St,,Milwaukee,WI ,53204,USA,"43.0206522965095, -87.9232705142302",Originally donated to the city by George H. Walker in 1836.
133,Warnimont Park,42.9470458,-87.8463807,"5400 S Lake Dr, Cudahy, WI 53110",5400 S Lake Dr,,Cudahy,WI,53110,USA,"42.9470458, -87.8463807",
134,Washington Park,43.0536848,-87.9665582,"1859 N 40th St, Milwaukee, WI 53208",1859 N 40th St,,Milwaukee,WI,53208,USA,"43.0536848, -87.9665582","Designed by Frederick Law Olmsted in 1892. Originally named West Park, it was renamed Washington Park in 1900. It gradually became the location of the city's zoo in the late 1800s and continued there until 1963. A branch of the Urban Ecology Center opened in the park in 2007.[32] The park also includes a bandshell designed by Fitzhugh Scott, which seats 8,500 people, and opened on August 23, 1938.[33][34]"
135,Webster Park,43.100691,-88.0536614,"4521 N Mayfair Rd, Wauwatosa, WI 53225",4521 N Mayfair Rd,,Wauwatosa,WI,53225,USA,"43.100691, -88.0536614","Located just west of Mayfair Road, the park is owned by Milwaukee County and leased to the City of Wauwatosa. The Oak Leaf Trail runs through it."
136,Wedgewood Park,42.9769193,-88.0029767,"7201 W Wedgewood Dr, Milwaukee, WI 53220",7201 W Wedgewood Dr,,Milwaukee,WI,53220,USA,"42.9769193, -88.0029767",
137,Wehr Nature Center Park,42.9302024,-88.0346974,"9701 W College Ave, Franklin, WI 53132",9701 W College Ave,,Franklin,WI,53132,USA,"42.9302024, -88.0346974",Located near Boerner Botanical Gardens and Whitnall Park golf course.
138,West Milwaukee Park,43.0110453,-87.9748238,"5000 W Burnham St, West Milwaukee, WI 53219",5000 W Burnham St,,West Milwaukee,WI,53219,USA,"43.0110453, -87.9748238",
139,Whitnall Park,42.9370541,-88.0290219,"5879 S 92nd St, Hales Corners, WI 53130",5879 S 92nd St,,Hales Corners,WI,53130,USA,"42.9370541, -88.0290219","Location of the Boerner Botanical Gardens. Golf course designed by George Hansen in 1932. Largest park in the system, named after city planner Charles B. Whitnall who was instrumental in starting up the park system."
140,Wilson Park,42.9726255,-87.9341313,"1601 W Howard Ave, Milwaukee, WI 53221",1601 W Howard Ave,,Milwaukee,WI,53221,USA,"42.9726255, -87.9341313","Named in honor of Woodrow Wilson. Initial acquisition of the site occurred in 1930. In 1938, work on the park's grade was completed by the Works Progress Administration.[35]"
141,Wilson Recreation Park,42.9716383,-87.9415414,"4001 S 20th St, Milwaukee, WI 53221",4001 S 20th St,,Milwaukee,WI,53221,USA,"42.9716383, -87.9415414",Located directly west of Wilson Park. Programming is done year around at the indoor ice arena for both open free style skating as well as private groups and clubs. The Milwaukee Admirals continue to use Wilson as a practice facility.[36]
142,Wisconsin Avenue Park,43.0388276,-88.0405975,"10300 W Wisconsin Ave, Wauwatosa, WI 53226",10300 W Wisconsin Ave,,Wauwatosa,WI,53226,USA,"43.0388276, -88.0405975",
143,Wyrick Park,43.1427111,-87.9797212,"5400 W Green Tree Rd, Milwaukee, WI 53223",5400 W Green Tree Rd,,Milwaukee,WI,53223,USA,"43.1427111, -87.9797212",
144,Zablocki Park,42.9738071,-87.9609794,"3717 W Howard Ave, Greenfield, WI 53221",3717 W Howard Ave,,Greenfield,WI,53221,USA,"42.9738071, -87.9609794",
145,Zeidler Union Square Park,43.0370069,-87.91534326,"301 W Michigan St, Milwaukee, WI 53203",301 W Michigan St,,Milwaukee,WI,53203,USA,"43.0370068989774, -87.9153432621871","First Milwaukee public park in 1835, as Union Square. Acquired by the county in 1937, as Fourth Ward Square. Now named after Milwaukee's 33rd mayor Carl Zeidler.[37]"
